ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
29970,simple,,,Batting Gloves - SS Super Test (Big Red Logo),1,0,visible,"'- Step up your batting game with the SS Super Test Batting Gloves (Big Red Logo).\n\n- Available in both Men’s and Youth sizes.\n\n- With a bold red SS logo that stands out on the field and ergonomic design.","The SS Super Test Batting Gloves (Big Red Logo) combine superior comfort with elite-level protection, designed for serious cricketers. Available in Men’s and Youth sizes for both Right Hand (RH) and Left Hand (LH). Premium grip and impact control make these gloves perfect for long innings.",,,taxable,,1,,,0,0,,,,,1,,3200,3665,"Cricket > Batting Gloves, Cricket",,Gloves,"https://chhabrasports.com/wp-content/uploads/2026/02/IMG_5414-scaled.jpg, https://chhabrasports.com/wp-content/uploads/2026/02/IMG_5415-scaled.jpg, https://chhabrasports.com/wp-content/uploads/2026/02/IMG_5414-scaled.jpg",,,,,,,,,,0,,,,,,,,,,
29984,simple,,,META VR THIGH GUARD IN RADIANT RED,1,0,visible,,"The META VR Thigh Guard in Radiant Red delivers the perfect blend of protection and performance. Designed with high-impact resistant padding and a lightweight, ergonomic fit, it ensures maximum comfort and flexibility at the crease.",,,taxable,,1,,,0,0,,,,,1,,2951,3279,"Cricket, Cricket > Thigh Guard",,,"https://chhabrasports.com/wp-content/uploads/2026/02/IMG-20260112-WA0063.jpg.jpeg, https://chhabrasports.com/wp-content/uploads/2026/02/IMG-20260112-WA0063.jpg.jpeg, https://chhabrasports.com/wp-content/uploads/2026/02/IMG-20260112-WA0065.jpg.jpeg, https://chhabrasports.com/wp-content/uploads/2026/02/IMG-20260112-WA0066.jpg.jpeg, https://chhabrasports.com/wp-content/uploads/2026/02/IMG-20260112-WA0064.jpg.jpeg",,,,,,,,,,0,,,,,,,,,,
29996,variable,,,NIKE REACT DOMAIN 3 LOW SPIKES,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,"Cricket, Cricket > Footwear","footwear, Nike Footwear",,https://chhabrasports.com/wp-content/uploads/2026/02/IMG_5577-scaled.jpg,,,,,,,,,,0,,Size in UK,"10, 7, 8, 9",1,1,8,,,,
30013,simple,,,EM 360 BOLD EW,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,20999,26749,"Cricket, Cricket > Cricket Bat",,,https://chhabrasports.com/wp-content/uploads/2026/02/20999.jpeg,,,,,,,,,,0,,,,,,,,,,
30017,simple,,,EM 360 LEGACY EW,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,15999,19849,"Cricket, Cricket > Cricket Bat",,,https://chhabrasports.com/wp-content/uploads/2026/02/bat-360-scaled.jpg,,,,,,,,,,0,,,,,,,,,,
30021,simple,,,EM 360 PLAY BURST EW,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,28499,38249,"Cricket, Cricket > Cricket Bat",,,https://chhabrasports.com/wp-content/uploads/2026/02/IMG_5671-scaled.jpg,,,,,,,,,,0,,,,,,,,,,
30024,simple,,,EM 360 BULL RING EW,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,34999,49749,"Cricket, Cricket > Cricket Bat",,,https://chhabrasports.com/wp-content/uploads/2026/02/IMG_5685-scaled.jpg,,,,,,,,,,0,,,,,,,,,,
30032,variable,,,ADIDAS ADIPOWER INCURZA SPIKES,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Cricket, Cricket > Footwear",,,https://chhabrasports.com/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-1.35.46-PM.jpeg,,,,,,,,,,0,,Size in UK,"10, 8, 9",1,1,,,,,
30038,variation,,,ADIDAS ADIPOWER INCURZA SPIKES - 9,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-1.35.46-PM.jpeg,,,,id:30032,,,,,,0,,Size in UK,9,,1,,,,,
30039,variation,,,ADIDAS ADIPOWER INCURZA SPIKES - 8,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-1.35.46-PM.jpeg,,,,id:30032,,,,,,0,,Size in UK,8,,1,,,,,
30040,variation,,,ADIDAS ADIPOWER INCURZA SPIKES - 10,1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-1.35.46-PM.jpeg,,,,id:30032,,,,,,0,,Size in UK,10,,1,,,,,
30044,variable,,,NIVIA HY COURT 3.0,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Badminton, Badminton > SHOES",,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_5897-scaled.jpg,,,,,,,,,,0,,Size in UK,"12, 13, 3-10",1,1,,Size,"Adult, Junior",1,1
30052,variation,,,NIVIA HY COURT 3.0,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,1649,2019,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_5897-scaled.jpg,,,,id:30044,,,,,,0,,Size in UK,12,,1,,Size,Junior,,1
30053,variation,,,NIVIA HY COURT 3.0,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,1649,2019,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_5897-scaled.jpg,,,,id:30044,,,,,,0,,Size in UK,13,,1,,Size,Junior,,1
30054,variation,,,NIVIA HY COURT 3.0,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,1649,2019,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_5897-scaled.jpg,,,,id:30044,,,,,,0,,Size in UK,46298,,1,,Size,Junior,,1
30198,variable,Morrant International blue,,BATTING LEG-GUARD -  MORRANT IMTERNATIONAL ULTRA LITE MADE IN UK BLUE/WHITE,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Cricket > Batting Legguard, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/03/morrant-colour-1.webp, https://chhabrasports.com/wp-content/uploads/2026/03/morrant-colour-1.webp, https://chhabrasports.com/wp-content/uploads/2026/03/morrant-colour.webp",,,,,,,,,,0,Morrant,Color,"BLUE, White",1,1,,Size,Adult,1,1
30205,variation,BLUE,,"BATTING LEG-GUARD -  MORRANT IMTERNATIONAL ULTRA LITE MADE IN UK BLUE/WHITE - BLUE, Adult",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,17849,20999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/morrant-colour-1.webp,,,,Morrant International blue,,,,,,3,,Color,BLUE,,1,,Size,Adult,,1
30206,variation,WHITE,,"BATTING LEG-GUARD -  MORRANT IMTERNATIONAL ULTRA LITE MADE IN UK BLUE/WHITE - White, Adult",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,17849,20999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/morrant-colour.webp,,,,Morrant International blue,,,,,,2,,Color,White,,1,,Size,Adult,,1
30208,simple,,,Shrey Meta Duffle Wheelie 120,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,7500,8399,"Cricket, Cricket > Kitbags",,,"https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_1_HD_D3NP0ueEr.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_1_HD_D3NP0ueEr.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_2_HD_4cfCNn5Rut.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_3_HD_pg_MJjzhN.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_4_HD_zbCFUSu3Z.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_5_HD_TjUaQJ6Jhb.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_6_HD_poNBFISTEa.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHREY_META_DUFFLE_WHEELIE_120_3069_BLACK_7_HD_6raJINw48.webp",,,,,,,,,,0,SHREY,,,,,,,,,
30217,variable,Cricket spikes,,ADIDAS Adipower Incurza Cricket spikes,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Cricket, Cricket > Footwear",,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_6333-scaled.jpg,,,,,,,,,,0,,Size in UK,"10, 11, 8, 9",1,1,,,,,
30219,variation,,,ADIDAS Adipower Incurza Cricket spikes - 11,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_6333-scaled.jpg,,,,Cricket spikes,,,,,,0,,Size in UK,11,,1,,,,,
30220,variation,,,ADIDAS Adipower Incurza Cricket spikes - 10,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_6333-scaled.jpg,,,,Cricket spikes,,,,,,0,,Size in UK,10,,1,,,,,
30221,variation,,,ADIDAS Adipower Incurza Cricket spikes - 9,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_6333-scaled.jpg,,,,Cricket spikes,,,,,,0,,Size in UK,9,,1,,,,,
30222,variation,,,ADIDAS Adipower Incurza Cricket spikes - 8,1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,16999,,,,https://chhabrasports.com/wp-content/uploads/2026/03/IMG_6333-scaled.jpg,,,,Cricket spikes,,,,,,0,,Size in UK,8,,1,,,,,
30239,variable,,,TYKA -  Dynamic POLO,1,0,visible,"<div>» It is a modern take on the classic polo shirt, incorporating sublimated panels for added style and visual interest.</div>\n<div>» Ribbed collar, short sleeves and buttoned placket.</div>\n<div>» Performance fabric designed to wick away moisture, enhance breathability, and provide stretch for freedom of movement.</div>\n<div>» This ensures comfort and performance during sports, workouts or everyday use.</div>","<div>» It is a modern take on the classic polo shirt, incorporating sublimated panels for added style and visual interest.</div>\n<div>» Ribbed collar, short sleeves and buttoned placket.</div>\n<div>» Performance fabric designed to wick away moisture, enhance breathability, and provide stretch for freedom of movement.</div>\n<div>» This ensures comfort and performance during sports, workouts or everyday use.</div>",,,taxable,,1,,,0,0,,,,,1,,,,"Cricket > Apparels, Cricket, Cricket > Apparels > POLO",,,"https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp, https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp, https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo2.webp, https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo3.webp, https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo4.webp, https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo5.webp",,,,,,,,,,0,,Size,"L, M, S, XL, XXL, XXXL",1,1,,,,,
30240,variation,,,TYKA -  Dynamic POLO - XXXL,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,850,,,,https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp,,,,id:30239,,,,,,1,,Size,XXXL,,1,,,,,
30241,variation,,,TYKA -  Dynamic POLO - XXL,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,850,,,,https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp,,,,id:30239,,,,,,2,,Size,XXL,,1,,,,,
30242,variation,,,TYKA -  Dynamic POLO - XL,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,850,,,,https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp,,,,id:30239,,,,,,3,,Size,XL,,1,,,,,
30243,variation,,,TYKA -  Dynamic POLO - S,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,850,,,,https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp,,,,id:30239,,,,,,4,,Size,S,,1,,,,,
30244,variation,,,TYKA -  Dynamic POLO - M,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,850,,,,https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp,,,,id:30239,,,,,,5,,Size,M,,1,,,,,
30245,variation,,,TYKA -  Dynamic POLO - L,1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,850,,,,https://chhabrasports.com/wp-content/uploads/2026/03/DYNAMIC-Polo1.webp,,,,id:30239,,,,,,6,,Size,L,,1,,,,,
30273,variable,,,Tyka - PANAMA HAT,1,0,visible,"<div>- Featuring a classic Panama hat silhouette, this headwear exudes elegance and refinement, making it the perfect accessory       for cricket. The wide brim provides ample shade and protection from the sun's rays, allowing you to stay cool.</div>\n<div>- Crafted from soft and absorbent material, the towel lining offers a convenient solution for managing sweat and moisture.       Elevate your cricketing experience with a hat that combines classic elegance with modern convenience.</div>","<div>- Featuring a classic Panama hat silhouette, this headwear exudes elegance and refinement, making it the perfect accessory for cricket. The wide brim provides ample shade and protection from the sun's rays, allowing you to stay cool.</div>\n<div>- Crafted from soft and absorbent material, the towel lining offers a convenient solution for managing sweat and moisture. Elevate your cricketing experience with a hat that combines classic elegance with modern convenience.</div>",,,taxable,,1,,,0,0,,,,,1,,,,"Cricket > Apparels, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/03/HAT3.webp, https://chhabrasports.com/wp-content/uploads/2026/03/HAT4.webp, https://chhabrasports.com/wp-content/uploads/2026/03/HAT3.webp, https://chhabrasports.com/wp-content/uploads/2026/03/HAT2.webp, https://chhabrasports.com/wp-content/uploads/2026/03/HAT1.webp",,,,,,,,,,0,,Size,"L, M, S",1,1,,Color,"Navy, White",1,1
30275,variation,,,"Tyka - PANAMA HAT - L, White",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,450,,,,https://chhabrasports.com/wp-content/uploads/2026/03/hatw3.webp,,,,id:30273,,,,,,1,,Size,L,,1,,Color,White,,1
30276,variation,,,"Tyka - PANAMA HAT - L, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,450,,,,https://chhabrasports.com/wp-content/uploads/2026/03/HAT3.webp,,,,id:30273,,,,,,2,,Size,L,,1,,Color,Navy,,1
30277,variation,,,"Tyka - PANAMA HAT - S, White",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,450,,,,https://chhabrasports.com/wp-content/uploads/2026/03/hatw3.webp,,,,id:30273,,,,,,3,,Size,S,,1,,Color,White,,1
30278,variation,,,"Tyka - PANAMA HAT - S, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,450,,,,https://chhabrasports.com/wp-content/uploads/2026/03/HAT2.webp,,,,id:30273,,,,,,4,,Size,S,,1,,Color,Navy,,1
30279,variation,,,"Tyka - PANAMA HAT - M, White",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,450,,,,https://chhabrasports.com/wp-content/uploads/2026/03/hatw3.webp,,,,id:30273,,,,,,5,,Size,M,,1,,Color,White,,1
30280,variation,,,"Tyka - PANAMA HAT - M, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,450,,,,https://chhabrasports.com/wp-content/uploads/2026/03/HAT3.webp,,,,id:30273,,,,,,6,,Size,M,,1,,Color,Navy,,1
30286,variable,,,TYKA MYCRA SHORTS,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Cricket > Apparels, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/03/SHORTNAVY4.webp, https://chhabrasports.com/wp-content/uploads/2026/03/shorts1.webp, https://chhabrasports.com/wp-content/uploads/2026/03/NAVYSHORT1.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHORTNAVY4.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHORTNAVY3.webp, https://chhabrasports.com/wp-content/uploads/2026/03/SHORTNAVY2.webp, https://chhabrasports.com/wp-content/uploads/2026/03/shorts4.webp, https://chhabrasports.com/wp-content/uploads/2026/03/shorts3.webp, https://chhabrasports.com/wp-content/uploads/2026/03/shorts2.webp",,,,,,,,,,0,,Size,"L, M, S, XL, XXL",1,1,,Color,"Beige, Black, BLACK/BLUE, BLACK/RED, BLACK/YELLOW, BLU/ORG, BLUE, Brown, CAMO, CSK Yellow, CYAN, CYAN BLUE, FERRARI RED, India Blue, KKR Gold, KXIP Silver, MAGENTA, MI Blue, Navy, ORANGE, PEARLIZED BLUE DARK GREY, RCB Red, RED, Royal, RR Pink, SILVER GUNMETAL, White, WHT/MAROON, Yellow",1,1
30287,variation,,,"TYKA MYCRA SHORTS - XL, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/NAVYSHORT1.webp,,,,id:30286,,,,,,1,,Size,XL,,1,,Color,Navy,,1
30288,variation,,,"TYKA MYCRA SHORTS - XL, Black",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/shorts2.webp,,,,id:30286,,,,,,2,,Size,XL,,1,,Color,Black,,1
30289,variation,,,"TYKA MYCRA SHORTS - S, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/NAVYSHORT1.webp,,,,id:30286,,,,,,3,,Size,S,,1,,Color,Navy,,1
30290,variation,,,"TYKA MYCRA SHORTS - S, Black",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/shorts1.webp,,,,id:30286,,,,,,4,,Size,S,,1,,Color,Black,,1
30291,variation,,,"TYKA MYCRA SHORTS - M, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/SHORTNAVY4.webp,,,,id:30286,,,,,,5,,Size,M,,1,,Color,Navy,,1
30292,variation,,,"TYKA MYCRA SHORTS - M, Black",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/shorts2.webp,,,,id:30286,,,,,,6,,Size,M,,1,,Color,Black,,1
30293,variation,,,"TYKA MYCRA SHORTS - L, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/NAVYSHORT1.webp,,,,id:30286,,,,,,7,,Size,L,,1,,Color,Navy,,1
30294,variation,,,"TYKA MYCRA SHORTS - L, Black",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/shorts2.webp,,,,id:30286,,,,,,8,,Size,L,,1,,Color,Black,,1
30295,variation,,,"TYKA MYCRA SHORTS - XXL, Navy",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/NAVYSHORT1.webp,,,,id:30286,,,,,,9,,Size,XXL,,1,,Color,Navy,,1
30296,variation,,,"TYKA MYCRA SHORTS - XXL, Black",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,,599,,,,https://chhabrasports.com/wp-content/uploads/2026/03/shorts4.webp,,,,id:30286,,,,,,10,,Size,XXL,,1,,Color,Black,,1
30307,simple,,,DUNLOP AO TENNIS BALL,1,0,visible,,"<h2><strong>DUNLOP AO Tennis Ball Description:</strong></h2>\nThe First Slam of the year, the 2019 Australian Open, opens with DUNLOP as its <strong>new</strong> ball support! This new tennis ball includes a <strong>HD</strong> Core, which is a remastered form of the exemplary DUNLOP Forte Core that is intended to play much more <strong>reliably</strong> and with more prominent <strong>toughness</strong>. DUNLOP has additionally added HD Pro Cloth to this ball, a top notch felt built for the <strong>largest</strong> amount of play. Players of all levels searching for the <strong>highest quality</strong> ball will be <strong>satisfied </strong>with this new offering from DUNLOP.\n<h2><strong>DUNLOP AO Tennis Ball Features:</strong></h2>\n<ul>\n 	<li>Composition : Rubber, Cloth Ultra-Durable all courts balls</li>\n 	<li>ITF Approved</li>\n 	<li>Australian Open logo printed on each ball</li>\n 	<li>Material: Rubber</li>\n 	<li>Obsessively crafted</li>\n 	<li>Meticulously Engineered</li>\n</ul>",,,taxable,,1,,,0,0,,,,,1,,1799,3196,Lawn Tennis,,,"https://chhabrasports.com/wp-content/uploads/2026/03/dozen-ball.jpg, https://chhabrasports.com/wp-content/uploads/2026/03/tennis-ball-dunlop-ao-balls-03_20.webp, https://chhabrasports.com/wp-content/uploads/2026/03/dozen-ball.jpg",,,,,,,,,,0,,,,,,,,,,
30308,variable,,,Batting Gloves - Versant GC,1,0,visible,,"Second skin comfort. Elite performance.\nGamechanger (GC) Gloves ft. Shubman Gill",,,taxable,,1,,,0,0,,,,,1,,,,"Cricket > Batting Gloves, Cricket",,,"https://chhabrasports.com/wp-content/uploads/2026/03/GC-Gloves-2.jpeg, https://chhabrasports.com/wp-content/uploads/2026/03/GC-Goves1-scaled.jpeg, https://chhabrasports.com/wp-content/uploads/2026/03/GC-Gloves-2.jpeg",,,,,,,,,,0,,Size,"MENS LH, MENS RH",1,1,,,,,
